data,mandante,placar_m,placar_v,visitante,p_m,p_v,tc_m,tc_v,cg_m,cg_v,d_m,d_v,local,campeonato,links
2021-03-10,Chapecoense,1,1,São Paulo,0.37,0.63,6,17,2,8,0.44,0.56,Arena Condá,Brasileirão Série A,/pt-br/match/2204896
2021-02-10,Atlético-MG,1,0,Internacional,0.57,0.43,10,6,3,4,0.49,0.51,Estadio Mineirão,Brasileirão Série A,/pt-br/match/2204889
2021-02-10,Red Bull Bragantino,2,2,Corinthians,0.38,0.62,15,11,5,7,0.43,0.57,Estádio Nabi Abi Chedid,Brasileirão Série A,/pt-br/match/2204895
2021-02-10,Cuiabá,0,2,América-MG,0.53,0.47,14,9,3,2,0.54,0.46,Arena Pantanal,Brasileirão Série A,/pt-br/match/2204890
2021-02-10,Fortaleza,0,3,Atlético-GO,0.68,0.32,14,6,4,5,0.52,0.48,Castelão,Brasileirão Série A,/pt-br/match/2204892
2021-09-26,Atlético-GO,0,0,Cuiabá,0.57,0.43,16,6,3,2,0.45,0.55,Estádio Antônio Accioly,Brasileirão Série A,/pt-br/match/2204879
2021-09-26,Athletico Paranaense,4,2,Grêmio,0.54,0.46,16,15,5,7,0.52,0.49,Arena da Baixada,Brasileirão Série A,/pt-br/match/2204878
2021-09-26,Sport Recife,0,1,Fortaleza,0.57,0.43,18,15,5,7,0.44,0.56,Arena Pernambuco,Brasileirão Série A,/pt-br/match/2204885
2021-09-26,Fluminense,2,1,Red Bull Bragantino,0.43,0.57,16,7,6,4,0.57,0.43,Estadio do Maracanã,Brasileirão Série A,/pt-br/match/2204882
2021-09-26,Internacional,2,0,Bahia,0.58,0.42,12,15,7,2,0.52,0.48,Estadio Beira-Rio,Brasileirão Série A,/pt-br/match/2204883
2021-09-26,Juventude,3,0,Santos,0.37,0.63,6,19,4,3,0.53,0.47,Alfredo Jaconi,Brasileirão Série A,/pt-br/match/2204884
2021-09-26,América-MG,1,1,Flamengo,0.42,0.58,15,9,2,5,0.58,0.42,Estádio Raimundo Sampaio (Independência),Brasileirão Série A,/pt-br/match/2204877
2021-09-25,São Paulo,0,0,Atlético-MG,0.49,0.51,7,11,0,4,0.51,0.49,Estadio Cicero Pompeu de Toledo (Morumbi),Brasileirão Série A,/pt-br/match/2204886
2021-09-25,Corinthians,2,1,Palmeiras,0.49,0.51,8,16,3,5,0.49,0.51,Neo Química Arena,Brasileirão Série A,/pt-br/match/2204881
2021-09-25,Ceará,1,0,Chapecoense,0.59,0.41,24,9,8,1,0.62,0.38,Castelão,Brasileirão Série A,/pt-br/match/2204880
2021-09-20,Cuiabá,2,2,Fluminense,0.59,0.41,7,12,3,5,0.47,0.54,Arena Pantanal,Brasileirão Série A,/pt-br/match/2204873
2021-09-19,Flamengo,0,1,Grêmio,0.62,0.38,9,11,1,5,0.44,0.56,Estadio do Maracanã,Brasileirão Série A,/pt-br/match/2204874
2021-09-19,Corinthians,1,1,América-MG,0.65,0.35,15,16,8,7,0.55,0.45,Neo Química Arena,Brasileirão Série A,/pt-br/match/2204872
2021-09-19,São Paulo,2,1,Atlético-GO,0.52,0.48,13,11,5,4,0.5,0.5,Estadio Cicero Pompeu de Toledo (Morumbi),Brasileirão Série A,/pt-br/match/2204876
2021-09-19,Internacional,1,0,Fortaleza,0.59,0.41,18,11,5,5,0.47,0.53,Estadio Beira-Rio,Brasileirão Série A,/pt-br/match/2204875
2021-09-18,Bahia,1,1,Red Bull Bragantino,0.41,0.59,13,15,3,5,0.56,0.44,Arena Fonte Nova,Brasileirão Série A,/pt-br/match/2204869
2021-09-18,Ceará,0,0,Santos,0.51,0.49,10,7,4,1,0.56,0.44,Castelão,Brasileirão Série A,/pt-br/match/2204870
2021-09-18,Atlético-MG,3,0,Sport Recife,0.6,0.4,22,7,9,1,0.54,0.46,Estadio Mineirão,Brasileirão Série A,/pt-br/match/2204868
2021-09-18,Athletico Paranaense,2,1,Juventude,0.6,0.4,27,15,7,3,0.43,0.57,Arena da Baixada,Brasileirão Série A,/pt-br/match/2204867
2021-09-18,Chapecoense,0,2,Palmeiras,0.54,0.46,15,13,3,7,0.51,0.5,Arena Condá,Brasileirão Série A,/pt-br/match/2204871
2021-09-13,Sport Recife,0,1,Internacional,0.51,0.49,14,11,3,4,0.42,0.58,Ilha do Retiro,Brasileirão Série A,/pt-br/match/2204858
2021-12-09,Fluminense,2,1,São Paulo,0.42,0.58,8,8,5,7,0.49,0.51,Estadio do Maracanã,Brasileirão Série A,/pt-br/match/2204857
2021-12-09,Atlético-GO,1,1,Corinthians,0.52,0.48,11,8,5,2,0.5,0.5,Estádio Antônio Accioly,Brasileirão Série A,/pt-br/match/2204859
2021-12-09,Fortaleza,0,2,Atlético-MG,0.48,0.52,14,11,4,4,0.54,0.46,Castelão,Brasileirão Série A,/pt-br/match/2204860
2021-12-09,Palmeiras,1,3,Flamengo,0.59,0.41,12,11,5,4,0.49,0.52,Allianz Parque,Brasileirão Série A,/pt-br/match/2204863
2021-12-09,Grêmio,2,0,Ceará,0.41,0.59,13,8,3,1,0.46,0.54,Grêmio Arena,Brasileirão Série A,/pt-br/match/2204861
2021-11-09,Santos,0,0,Bahia,0.65,0.35,10,13,1,4,0.52,0.48,Estádio Vila Belmiro (Urbano Caldeira),Brasileirão Série A,/pt-br/match/2204865
2021-11-09,Red Bull Bragantino,1,2,Chapecoense,0.56,0.44,12,22,5,6,0.42,0.59,Estádio Nabi Abi Chedid,Brasileirão Série A,/pt-br/match/2204864
2021-11-09,Juventude,1,2,Cuiabá,0.63,0.37,17,3,6,1,0.52,0.48,Alfredo Jaconi,Brasileirão Série A,/pt-br/match/2204862
2021-11-09,América-MG,2,0,Athletico Paranaense,0.56,0.44,27,7,6,1,0.57,0.43,Estádio Raimundo Sampaio (Independência),Brasileirão Série A,/pt-br/match/2204866
